Date,Label,TopIdx,headline,llm_label,llm_score,llm_rationale
2016-06-20,1,1,A staggering 87 percent of Venezuelans say they do not have money to buy enough food,Neutral,0.0,(no rationale returned)
2016-06-20,1,2,Two corporate whistleblowers may enter into plea bargain deal that would tie 30% of Brazilian lawmakers to corruption cases.,Neutral,0.0,(no rationale returned)
2016-06-20,1,3,"Poland, together with Russia, Iran, and several Gulf states successfully removed decriminalization of homosexuality from UN resolution.",Neutral,0.0,(no rationale returned)
2016-06-20,1,4,"Three environmental activists were killed per week last year, murdered defending land rights and the environment from mining, dam projects and logging",Neutral,0.0,(no rationale returned)
2016-06-20,1,5,"Ontario funeral business dissolves the dead, pours them into town sewers",Neutral,0.0,(no rationale returned)
2016-06-20,1,6,"New Declassified Documents Reveal How CIA Abused, Tortured Prisoners [Graphic]",Neutral,0.0,(no rationale returned)
2016-06-20,1,7,"Tens of thousands of people gathered in sweltering heat on Japan's Okinawa island on Sunday in one of the biggest demonstrations in two decades against U.S. military bases, following the arrest of an American suspected of murdering a local woman.",Neutral,0.0,(no rationale returned)
2016-06-20,1,8,"Japan's dementia crisis hits record levels as thousands go missing. National Police Agency reports more than 12,000 patients going missing in 2015, with hundreds of those later found dead",Neutral,0.0,(no rationale returned)
2016-06-20,1,9,"Icelands Hekla volcano, a very popular tourist destination, now ready to blow",Neutral,0.0,(no rationale returned)
2016-06-20,1,10,Corbyn pledges to kill TTIP if elected,Neutral,0.0,(no rationale returned)
2016-06-20,1,11,Venezuelans Ransack Stores as Hunger Grips the Nation - 4-year-old girl was shot to death as street gangs fought over food.,Neutral,0.0,(no rationale returned)
2016-06-20,1,12,Rome elects first female mayor,Neutral,0.0,(no rationale returned)
2016-06-20,1,13,"Saudi Arabia and Kuwait angry about Hillary Clintons claims that they 'fund terrorism': The two embassies in Canberra, Australia denounced the presidential candidate's remarks and said they also suffer from terrorism",Neutral,0.0,(no rationale returned)
2016-06-20,1,14,Professor Dismissed for Insulting Turkey's President,Neutral,0.0,(no rationale returned)
2016-06-20,1,15,Russian soldier dies in Syria after preventing car bomb attack on aid distribution point,Neutral,0.0,(no rationale returned)
2016-06-20,1,16,"Three dead, 45 injured as labor union clashes with police in Mexico",Neutral,0.0,(no rationale returned)
2016-06-20,1,17,"Indonesia vows to stand firm after skirmishes with Chinese ships.China claims most of the South China Sea, through which $5 trillion in ship-borne trade passes every year. The Philippines, Vietnam, Malaysia, Taiwan and Brunei have overlapping claims.",Neutral,0.0,(no rationale returned)
2016-06-20,1,18,A study of ocean plankton has shown that an increase in the water temperature of the worlds oceans of around 6C (10.8F) which some scientists predict could occur as soon as 2100 could stop oxygen production by phytoplankton by disrupting the process of photosynthesis.,Neutral,0.0,(no rationale returned)
2016-06-20,1,19,"Australia taxes foreign home buyers as affordability bites - Sydney is imposing new taxes on foreigners buying homes as concerns grow that a flood of mostly Chinese investors is crowding out locals and killing the ""Great Australian Dream"" of owning property",Neutral,0.0,(no rationale returned)
2016-06-20,1,20,Paris isn't happy about Amazon's one-hour delivery service,Neutral,0.0,(no rationale returned)
2016-06-20,1,21,"Australian man pleads guilty to making sexual threats on social media, in a landmark victory for opponents of online harassment. ""When her friends defended her online, Alchin wrote more than fifty posts, including rape threats, and saying that women should 'never have been given rights' """,Neutral,0.0,(no rationale returned)
2016-06-20,1,22,Trudeau condemns killing of 14 Canadian Embassy security guards in Kabul,Neutral,0.0,(no rationale returned)
2016-06-20,1,23,Vladimir Putin is considering selling part of Russias corporate crown jewels to China and India as the president struggles to meet spending commitments before his possible re-election bid in less than two years,Neutral,0.0,(no rationale returned)
2016-06-20,1,24,An elephant has survived being shot in the head by suspected poachers in Zimbabwe. It was found by vets in Mana Pools national park and is believed to have had the bullet lodged in its head for up to six weeks.,Neutral,0.0,(no rationale returned)
2016-06-20,1,25,Wikileaks founder Julian Assange marks 5 years holed up in Ecuadorean embassy,Neutral,0.0,(no rationale returned)
2016-06-21,1,1,An Australian athlete who has competed in six Paralympic Games has been robbed at gunpoint in the Brazilian city of Rio de Janeiro. Liesl Tesch said a man brandishing a gun pushed her off her bicycle and stole it on Sunday.,Neutral,0.0,(no rationale returned)
2016-06-21,1,2,Russian state television accidentally broadcasts evidence that Moscow uses cluster bombs in Syria,Neutral,0.0,(no rationale returned)
2016-06-21,1,3,"In 2015, 50 environmentalists were killed in Brazil more than a quarter of those killed worldwide and last year marked deadliest year for environmental activists, with 185 total murders across world. Out of the 10 deadliest countries in world for environmentalist, seven were in Latin America.",Neutral,0.0,(no rationale returned)
2016-06-21,1,4,"China's plan to cut meat consumption by 50% cheered by climate campaigners: New dietary guidelines could reduce greenhouse gas emissions by 1bn tonnes by 2030, and could lessen countrys problems with obesity and diabetes",Neutral,0.0,(no rationale returned)
2016-06-21,1,5,"Coral bleaching event now biggest in history and about to get worse: 'Coral in every major reef region has already experienced severe bleaching. About 93% of the reefs on Australias Great Barrier Reef have been affected, and almost a quarter of the reef on the 2,300km stretch is now dead.'",Neutral,0.0,(no rationale returned)
2016-06-21,1,6,Super-rich quaff champagne in Venezuela country club while middle classes scavenge for food,Neutral,0.0,(no rationale returned)
2016-06-21,1,7,Hong Kong bookseller refuses to be silenced after harsh detention in China,Neutral,0.0,(no rationale returned)
2016-06-21,1,8,Chinese prosecutors have successfully sued a county environmental agency for inadequately punishing a sewage firm that produced dye without appropriate safeguards the first such public interest case against a government department.,Neutral,0.0,(no rationale returned)
2016-06-21,1,9,"A London-based advocacy group says it has documented the killings of 185 environmental activists in 16 countries last year, nearly 60 percent more than in 2014.",Neutral,0.0,(no rationale returned)
2016-06-21,1,10,Erdogan loses appeal against German media boss,Neutral,0.0,(no rationale returned)
2016-06-21,1,11,Chinese supercomputer is the world's fastest and without using US chips,Neutral,0.0,(no rationale returned)
2016-06-21,1,12,"7-Eleven operator handed record penalty of more than $400,000 for systematically exploiting staff",Neutral,0.0,(no rationale returned)
2016-06-21,1,13,A Honduran military unit trained by US was ordered to kill environmental activist who was slain in March,Neutral,0.0,(no rationale returned)
2016-06-21,1,14,African Union plans to introduce single passport to create EU-style 'continent without borders',Neutral,0.0,(no rationale returned)
2016-06-21,1,15,"More refugees became citizens of Canada than any other country last year, UN says",Neutral,0.0,(no rationale returned)
2016-06-21,1,16,Turkey charges Reporters Without Borders press freedom representative with 'terrorist propaganda',Neutral,0.0,(no rationale returned)
2016-06-21,1,17,Brussels: Bomb alert at shopping centre sparks anti-terror operation | Europe | News,Neutral,0.0,(no rationale returned)
2016-06-21,1,18,Australian Paralympian Liesl Tesch robbed at gunpoint in Rio de Janeiro,Neutral,0.0,(no rationale returned)
